study,latin_name,historic_low_limit,historic_mean_limit,historic_upper_limit,modern_low_limit,modern_mean_elevation,modern_upper_limit,change_low_limit,change_mean_elevation,change_upper_limit
Freeman et al. 2018,Lipaugus vociferans,470,NA,800,470,NA,850,NA,NA,50
Freeman et al. 2018,Lophotriccus pileatus,1100,NA,1400,1300,NA,1400,200,NA,NA
Freeman et al. 2018,Malacoptila semicincta,NA,NA,NA,NA,NA,NA,NA,131.7741667,NA
Freeman et al. 2018,Micrastur ruficollis,600,NA,1100,470,NA,1350,-130,NA,250
Freeman et al. 2018,Microcerculus marginatus,470,NA,1150,470,NA,1350,NA,-47.99266667,200
Freeman et al. 2018,Mionectes oleagineus,470,NA,1350,470,NA,1350,NA,7.2,0
Freeman et al. 2018,Mionectes olivaceus,470,NA,1400,470,NA,1400,NA,159.0055368,NA
Freeman et al. 2018,Mionectes striaticollis,650,NA,1400,1300,NA,1400,650,130.0217778,NA
Freeman et al. 2018,Momotus momota,470,NA,700,470,NA,850,NA,NA,150
Freeman et al. 2018,Monasa morphoeus,470,NA,750,470,NA,800,NA,NA,50
Freeman et al. 2018,Myioborus miniatus,550,NA,1400,800,NA,1400,250,NA,NA
Freeman et al. 2018,Myiothlypis chrysogaster,470,NA,900,470,NA,1200,NA,NA,300
Freeman et al. 2018,Myiothlypis coronata,1300,NA,1400,1350,NA,1400,50,0,NA
Freeman et al. 2018,Myiotriccus ornatus,700,NA,1400,800,NA,1400,100,-169.078517,NA
Freeman et al. 2018,Myrmoborus myotherinus,470,NA,1200,470,NA,1050,NA,-6.044635897,-150
Freeman et al. 2018,Myrmothera campanisona,470,NA,850,470,NA,1400,NA,NA,550
Freeman et al. 2018,Myrmotherula axillaris,470,NA,850,470,NA,900,NA,42,50
Freeman et al. 2018,Myrmotherula longipennis,470,NA,700,470,NA,850,NA,NA,150
Freeman et al. 2018,Myrmotherula menetriesii,470,NA,850,470,NA,850,NA,NA,0
Freeman et al. 2018,Myrmotherula schisticolor,1300,NA,1400,1300,NA,1400,0,32.63,NA
Freeman et al. 2018,Ocreatus underwoodii,1000,NA,1350,1250,NA,1400,250,NA,50
Freeman et al. 2018,Oxyruncus cristatus,850,NA,1300,800,NA,1350,-50,NA,50
Freeman et al. 2018,Pachysylvia hypoxantha,470,NA,900,470,NA,1050,NA,NA,150
Freeman et al. 2018,Patagioenas subvinacea,470,NA,650,470,NA,750,NA,NA,100
Freeman et al. 2018,Penelope jacquacu,470,NA,1400,470,NA,1350,NA,NA,NA
Freeman et al. 2018,Percnostola lophotes,NA,NA,NA,NA,NA,NA,NA,0,NA
Freeman et al. 2018,Phaethornis guy,550,NA,1400,1000,NA,1400,450,174.329521,NA
Freeman et al. 2018,Phaethornis koepckeae,470,NA,1300,470,NA,1100,NA,80.43970654,-200
Freeman et al. 2018,Pharomachrus pavoninus,470,NA,1200,470,NA,900,NA,NA,-300
Freeman et al. 2018,Phlogophilus harterti,800,NA,1150,1000,NA,1300,200,24.28964286,150
Freeman et al. 2018,Phylloscartes orbitalis,NA,NA,NA,NA,NA,NA,NA,93.33333333,NA
Freeman et al. 2018,Phylloscartes ventralis,1000,NA,1400,1200,NA,1400,200,NA,NA
Freeman et al. 2018,Piaya cayana,470,NA,1400,470,NA,1400,NA,NA,NA
Freeman et al. 2018,Picumnus rufiventris,NA,NA,NA,NA,NA,NA,NA,0,NA
Freeman et al. 2018,Pipra fasciicauda,NA,NA,NA,NA,NA,NA,NA,0,NA
Freeman et al. 2018,Piprites chloris,470,NA,850,470,NA,1050,NA,NA,200
Freeman et al. 2018,Platyrinchus mystaceus,NA,NA,NA,NA,NA,NA,NA,303.3333333,NA
Freeman et al. 2018,Premnoplex brunnescens,1000,NA,1400,1300,NA,1400,300,112.6666667,NA
Freeman et al. 2018,Rhegmatorhina melanosticta,470,NA,1050,470,NA,1100,NA,95.76923077,50
Freeman et al. 2018,Rhytipterna simplex,470,NA,1400,470,NA,1400,NA,NA,NA
Freeman et al. 2018,Rupicola peruvianus,650,NA,1350,800,NA,1400,150,NA,50
Freeman et al. 2018,Saltator maximus,470,NA,1050,470,NA,1400,NA,NA,350
Freeman et al. 2018,Schiffornis turdina,600,NA,1400,650,NA,1400,50,60.70918546,NA
Freeman et al. 2018,Sciaphylax hemimelaena,470,NA,1100,470,NA,1350,NA,119.2462604,250
Freeman et al. 2018,Scytalopus atratus,1150,NA,1400,1100,NA,1400,-50,NA,NA
Freeman et al. 2018,Selenidera reinwardtii,470,NA,1050,470,NA,1100,NA,48.57142857,50
Freeman et al. 2018,Setophaga pitiayumi,700,NA,1400,700,NA,1400,0,NA,NA
Freeman et al. 2018,Snowornis subalaris,850,NA,1350,950,NA,1400,100,34,50
Freeman et al. 2018,Tangara chilensis,470,NA,1400,470,NA,1400,NA,NA,NA
Freeman et al. 2018,Tangara schrankii,NA,NA,NA,NA,NA,NA,NA,-140,NA
Freeman et al. 2018,Terenotriccus erythrurus,470,NA,900,470,NA,850,NA,NA,-50
Freeman et al. 2018,Thalurania furcata,470,NA,1100,470,NA,1000,NA,15.5,-100
Freeman et al. 2018,Thamnomanes ardesiacus,470,NA,850,470,NA,850,NA,77.5,0
Freeman et al. 2018,Thamnophilus schistaceus,470,NA,850,470,NA,950,NA,NA,100
Freeman et al. 2018,Threnetes leucurus,470,NA,650,470,NA,850,NA,198.8636364,200
Freeman et al. 2018,Thripadectes melanorhynchus,1000,NA,1350,1000,NA,1400,0,-43.63,50
Freeman et al. 2018,Tinamus guttatus,470,NA,850,470,NA,1000,NA,NA,150
Freeman et al. 2018,Trogon collaris,470,NA,1050,470,NA,1350,NA,NA,300
Freeman et al. 2018,Trogon curucui,470,NA,1400,470,NA,1400,NA,NA,NA
Freeman et al. 2018,Trogon melanurus,470,NA,1000,470,NA,950,NA,NA,-50
Freeman et al. 2018,Trogon personatus,1300,NA,1400,1250,NA,1400,-50,NA,NA
Freeman et al. 2018,Tunchiornis ochraceiceps,NA,NA,NA,NA,NA,NA,NA,-56,NA
Freeman et al. 2018,Turdus albicollis,470,NA,850,470,NA,950,NA,NA,100
Freeman et al. 2018,Turdus leucops,850,NA,1400,800,NA,1400,-50,-69.81461905,NA
Freeman et al. 2018,Tyranneutes stolzmanni,470,NA,800,470,NA,800,NA,NA,0
Freeman et al. 2018,Veniliornis affinis,470,NA,1350,470,NA,1350,NA,NA,0
Freeman et al. 2018,Willisornis poecilinotus,470,NA,850,470,NA,1100,NA,44.43666667,250
Freeman et al. 2018,Xenops minutus,470,NA,850,470,NA,1050,NA,70,200
Freeman et al. 2018,Xiphorhynchus ocellatus,NA,NA,NA,NA,NA,NA,NA,67.21537546,NA
Freeman et al. 2018,Xiphorhynchus triangularis,1100,NA,1400,1050,NA,1400,-50,57.85714286,NA
Freeman et al. 2018,Zentrygon frenata,1200,NA,1350,1150,NA,1400,-50,NA,50
He et al. 2019,Meconopsis horridula,NA,4406.4,NA,NA,4476.1,NA,NA,69.7,NA
He et al. 2019,Meconopsis impedita,NA,3947.8,NA,NA,4297.9,NA,NA,350.1,NA
He et al. 2019,Meconopsis integrifolia,NA,3721.4,NA,NA,4105.6,NA,NA,384.2,NA
He et al. 2019,Meconopsis lancifolia,NA,3905.1,NA,NA,4118.9,NA,NA,213.8,NA
He et al. 2019,Meconopsis punicea,NA,3702.2,NA,NA,3925.6,NA,NA,223.4,NA
He et al. 2019,Meconopsis quintuplinervia,NA,3427,NA,NA,3585.7,NA,NA,158.7,NA
He et al. 2019,Meconopsis racemosa,NA,3876.8,NA,NA,4140.3,NA,NA,263.5,NA
Jump et al. 2012,Anaphalis  morrisonicola,NA,NA,3005,NA,NA,3184,NA,NA,179
Jump et al. 2012,Angelica  morrisonicola,NA,NA,3952,NA,NA,3550,NA,NA,-402
Jump et al. 2012,Artemisia  morrisonensis,NA,NA,3476,NA,NA,3686,NA,NA,210
Jump et al. 2012,Aster taiwanensis,NA,NA,2700,NA,NA,2780,NA,NA,80
Jump et al. 2012,Cirsium arisanense,NA,NA,2400,NA,NA,2693,NA,NA,293
Jump et al. 2012,Deutzia pulchra,NA,NA,2400,NA,NA,2210,NA,NA,-190
Jump et al. 2012,Dianthus pygmaeus,NA,NA,3900,NA,NA,3900,NA,NA,0
Jump et al. 2012,Eupatorium formosanum,NA,NA,2228,NA,NA,2786,NA,NA,558
Jump et al. 2012,Gaultheria itoana,NA,NA,3200,NA,NA,3416,NA,NA,216
Jump et al. 2012,Hemiphragma heterophyllum,NA,NA,3179,NA,NA,2930,NA,NA,-249
Jump et al. 2012,Hydrocotyle setulosa,NA,NA,3100,NA,NA,3100,NA,NA,0
Jump et al. 2012,Hypericum nagasawai,NA,NA,3600,NA,NA,3950,NA,NA,350
Jump et al. 2012,Luzula taiwaniana,NA,NA,3300,NA,NA,3488,NA,NA,188
Jump et al. 2012,Lyonia ovalifolia,NA,NA,2300,NA,NA,2550,NA,NA,250
Jump et al. 2012,Picris hieracioides subsp. morrisonensis,NA,NA,3024,NA,NA,3200,NA,NA,176
Jump et al. 2012,Pimpinella niitakayamensis,NA,NA,3233,NA,NA,3550,NA,NA,317
Jump et al. 2012,Pyrola morrisonensis,NA,NA,2600,NA,NA,3275,NA,NA,675
Jump et al. 2012,Rhododendron rubropilosum var. rubropilosum,NA,NA,2733,NA,NA,3118,NA,NA,385
Jump et al. 2012,Rubus rolfei,NA,NA,3200,NA,NA,3400,NA,NA,200
Jump et al. 2012,Sedum morrisonense,NA,NA,3952,NA,NA,3800,NA,NA,-152
Jump et al. 2012,Spiraea formosana,NA,NA,2400,NA,NA,2300,NA,NA,-100
Jump et al. 2012,Spiraea prunifolia var. pseudoprunifolia,NA,NA,2400,NA,NA,3179,NA,NA,779
Jump et al. 2012,Swertia randaiensis,NA,NA,3000,NA,NA,3800,NA,NA,800
Jump et al. 2012,Triplostegia glandulifera,NA,NA,3000,NA,NA,3550,NA,NA,550
Kelly & Goulden 2008,Abies concolor,NA,2421,NA,NA,2518,NA,NA,96,NA
Kelly & Goulden 2008,Agave deserti,NA,693,NA,NA,643,NA,NA,-50,NA
Kelly & Goulden 2008,Ambrosia dumosa,NA,630,NA,NA,748,NA,NA,118,NA
Kelly & Goulden 2008,Auercus chrysolepis,NA,1987,NA,NA,2033,NA,NA,47,NA
Kelly & Goulden 2008,Ceanothus greggii,NA,1602,NA,NA,1671,NA,NA,70,NA
Kelly & Goulden 2008,Encella farinosa,NA,574,NA,NA,674,NA,NA,100,NA
Kelly & Goulden 2008,Larrea tridentata,NA,317,NA,NA,459,NA,NA,142,NA
Kelly & Goulden 2008,Pinus jeffreyi,NA,2240,NA,NA,2267,NA,NA,28,NA
Kelly & Goulden 2008,Quercus cornelius-mulleri,NA,1485,NA,NA,1522,NA,NA,37,NA
Kelly & Goulden 2008,Rhus ovata,NA,1457,NA,NA,1518,NA,NA,61,NA
Kirchman & van Keuren 2017,Archilocus colubris,NA,NA,NA,NA,NA,NA,NA,0,0
Kirchman & van Keuren 2017,Bombycilla cedrorum,NA,NA,NA,NA,NA,NA,NA,287.4,625
Kirchman & van Keuren 2017,Cardellina canadensis,NA,NA,NA,NA,NA,NA,0,-6.1,-150
Kirchman & van Keuren 2017,Catharus bicknelli,NA,NA,NA,NA,NA,NA,0,64.2,NA
Kirchman & van Keuren 2017,Catharus fuscescens,NA,NA,NA,NA,NA,NA,150,224.2,150
Kirchman & van Keuren 2017,Catharus guttatus,NA,NA,NA,NA,NA,NA,150,162.5,175
Kirchman & van Keuren 2017,Catharus ustulatus,NA,NA,NA,NA,NA,NA,150,150.6,150
Kirchman & van Keuren 2017,Colaptes auratus,NA,NA,NA,NA,NA,NA,0,0,0
Kirchman & van Keuren 2017,Corvus brachyrhynchos,NA,NA,NA,NA,NA,NA,NA,-56.3,0
Kirchman & van Keuren 2017,Cyanocitta cristata,NA,NA,NA,NA,NA,NA,-150,-2.1,-150
Kirchman & van Keuren 2017,Empidonax flaviventris,NA,NA,NA,NA,NA,NA,0,147.7,300
Kirchman & van Keuren 2017,Empidonax minimus,NA,NA,NA,NA,NA,NA,NA,0,0
Kirchman & van Keuren 2017,Haemorhous purpureus,NA,NA,NA,NA,NA,NA,475,271.2,150
Kirchman & van Keuren 2017,Hylocichla mustelina,NA,NA,NA,NA,NA,NA,150,46.2,0
Kirchman & van Keuren 2017,Junco hyemalis,NA,NA,NA,NA,NA,NA,NA,115.9,NA
Kirchman & van Keuren 2017,Mniotilta varia,NA,NA,NA,NA,NA,NA,NA,57.6,175
Kirchman & van Keuren 2017,Oreothlypis ruficapilla,NA,NA,NA,NA,NA,NA,-150,-78.7,NA
Kirchman & van Keuren 2017,Picoides pubescens,NA,NA,NA,NA,NA,NA,0,85.8,175
Kirchman & van Keuren 2017,Picoides villosus,NA,NA,NA,NA,NA,NA,150,353,475
Kirchman & van Keuren 2017,Piranga olivacea,NA,NA,NA,NA,NA,NA,NA,-41.6,0
Kirchman & van Keuren 2017,Poecile atricapillus,NA,NA,NA,NA,NA,NA,NA,-14.9,0
Kirchman & van Keuren 2017,Poecile hudsonicus,NA,NA,NA,NA,NA,NA,300,225,150
Kirchman & van Keuren 2017,Regulus calendula,NA,NA,NA,NA,NA,NA,-150,89.5,300
Kirchman & van Keuren 2017,Regulus satrapa,NA,NA,NA,NA,NA,NA,150,141.3,150
Kirchman & van Keuren 2017,Seiurus aurocapilla,NA,NA,NA,NA,NA,NA,NA,-1.8,175
Kirchman & van Keuren 2017,Setophaga caerulescens,NA,NA,NA,NA,NA,NA,150,149,0
Kirchman & van Keuren 2017,Setophaga coronata,NA,NA,NA,NA,NA,NA,0,-32.3,NA
Kirchman & van Keuren 2017,Setophaga fusca,NA,NA,NA,NA,NA,NA,0,253,475
Kirchman & van Keuren 2017,Setophaga magnolia,NA,NA,NA,NA,NA,NA,150,-34.2,0
Kirchman & van Keuren 2017,Setophaga pensylvanica,NA,NA,NA,NA,NA,NA,NA,0,0
Kirchman & van Keuren 2017,Setophaga ruticilla,NA,NA,NA,NA,NA,NA,NA,147.8,325
Kirchman & van Keuren 2017,Setophaga striata,NA,NA,NA,NA,NA,NA,150,116.5,NA
Kirchman & van Keuren 2017,Setophaga virens,NA,NA,NA,NA,NA,NA,150,295.8,150
Kirchman & van Keuren 2017,Sitta canadensis,NA,NA,NA,NA,NA,NA,0,68.4,0
Kirchman & van Keuren 2017,Sitta carolinensis,NA,NA,NA,NA,NA,NA,NA,-26.7,0
Kirchman & van Keuren 2017,Sphyrapicus varius,NA,NA,NA,NA,NA,NA,NA,-75,-150
Kirchman & van Keuren 2017,Spinus tristis,NA,NA,NA,NA,NA,NA,NA,0,0
Kirchman & van Keuren 2017,Troglodytes hiemalis,NA,NA,NA,NA,NA,NA,NA,148.1,NA
Kirchman & van Keuren 2017,Turdus migratorius,NA,NA,NA,NA,NA,NA,NA,30.4,450
Kirchman & van Keuren 2017,Vireo olivaceus,NA,NA,NA,NA,NA,NA,NA,66.8,175
Kirchman & van Keuren 2017,Vireo solitarius,NA,NA,NA,NA,NA,NA,NA,59.9,0
Kirchman & van Keuren 2017,Zonotrichia albicollis,NA,NA,NA,NA,NA,NA,NA,90.7,NA
Koide et al. 2017,Acacia koa,NA,NA,NA,NA,NA,NA,-27.4,-36.2,0
Koide et al. 2017,Alyxisa stellata,NA,NA,NA,NA,NA,NA,673.6,578.6,490.7
Koide et al. 2017,Andropogon glomeratus,NA,NA,NA,NA,NA,NA,240.8,101.1,0
Koide et al. 2017,Andropogon virginicus,NA,NA,NA,NA,NA,NA,-155.4,-168.1,12.2
Koide et al. 2017,Anthoxanthum odoratum,NA,NA,NA,NA,NA,NA,0,157.9,368.8
Koide et al. 2017,Arundina graminifolia,NA,NA,NA,NA,NA,NA,495.3,356.2,379.5
Koide et al. 2017,Asplenium adiantum,NA,NA,NA,NA,NA,NA,457.2,-52.3,0
Koide et al. 2017,Bulbostylis capillaris,NA,NA,NA,NA,NA,NA,0,-189,0
Koide et al. 2017,Carex wahuensis,NA,NA,NA,NA,NA,NA,175.3,186.3,-73.2
Koide et al. 2017,Chamaecrista nictitans,NA,NA,NA,NA,NA,NA,0,72.3,175.3
Koide et al. 2017,Chrysopogon aciculatus,NA,NA,NA,NA,NA,NA,0,43.8,175.3
Koide et al. 2017,Cibotium sp.,NA,NA,NA,NA,NA,NA,61,100.5,3
Koide et al. 2017,Cocculus orbiculatus,NA,NA,NA,NA,NA,NA,0,0,0
Koide et al. 2017,Commelina diffusa,NA,NA,NA,NA,NA,NA,0,-20.8,-48.8
Koide et al. 2017,Coprosma ernodeoides,NA,NA,NA,NA,NA,NA,12.2,107.4,0
Koide et al. 2017,Coprosma montana,NA,NA,NA,NA,NA,NA,-48.8,-58.6,-213.4
Koide et al. 2017,Coprosma sp.,NA,NA,NA,NA,NA,NA,0,69.7,0
Koide et al. 2017,Cyperus polystachyos,NA,NA,NA,NA,NA,NA,0,-182.7,-451.1
Koide et al. 2017,Cyrtandra platyphylla,NA,NA,NA,NA,NA,NA,0,0,0
Koide et al. 2017,Deschampsia nubigena,NA,NA,NA,NA,NA,NA,0,46.2,73.2
Koide et al. 2017,Dianella sandwicensis,NA,NA,NA,NA,NA,NA,170.7,42.7,0
Koide et al. 2017,Dicranopteris linearis,NA,NA,NA,NA,NA,NA,71.6,56.1,0
Koide et al. 2017,Dodonea viscosa,NA,NA,NA,NA,NA,NA,-300.2,-13,0
Koide et al. 2017,Dubautia ciliolata,NA,NA,NA,NA,NA,NA,204.2,290.2,0
Koide et al. 2017,Ehrharta stipoides,NA,NA,NA,NA,NA,NA,-3,289.6,759
Koide et al. 2017,Fimbristylis dichotoma,NA,NA,NA,NA,NA,NA,0,-12.2,-48.8
Koide et al. 2017,Geranium homeanum,NA,NA,NA,NA,NA,NA,0,-20.8,-48.8
Koide et al. 2017,Gernaium cuneatum,NA,NA,NA,NA,NA,NA,79.2,49.3,0
Koide et al. 2017,Heteropogon contortus,NA,NA,NA,NA,NA,NA,0,0,0
Koide et al. 2017,Hibiscadelphus giffardianus,NA,NA,NA,NA,NA,NA,0,24.4,48.8
Koide et al. 2017,Holcus lanatus,NA,NA,NA,NA,NA,NA,0,147.5,76.2
Koide et al. 2017,Hypochoeris radicata,NA,NA,NA,NA,NA,NA,530.4,-42.6,-554.7
Koide et al. 2017,Ilex anomala,NA,NA,NA,NA,NA,NA,0,33.2,0
Koide et al. 2017,Isachne distichophylla,NA,NA,NA,NA,NA,NA,0,-15.1,-21.3
Koide et al. 2017,Lantana camara,NA,NA,NA,NA,NA,NA,0,0,0
Koide et al. 2017,Leptocophylla tameiameiae,NA,NA,NA,NA,NA,NA,175.3,1.4,0
Koide et al. 2017,Luzula hawaiiensis,NA,NA,NA,NA,NA,NA,192,31.5,-7.6
Koide et al. 2017,Lycopodiella cernua,NA,NA,NA,NA,NA,NA,61,12.2,0
Koide et al. 2017,Lythrum maritimum,NA,NA,NA,NA,NA,NA,182.9,198.1,213.4
Koide et al. 2017,Machaerina angustifolia,NA,NA,NA,NA,NA,NA,0,-48,-128
Koide et al. 2017,Machaerina mariscoides,NA,NA,NA,NA,NA,NA,0,0,0
Koide et al. 2017,Melinis minutiflora,NA,NA,NA,NA,NA,NA,-300.2,-74.3,125
Koide et al. 2017,Melinis repens,NA,NA,NA,NA,NA,NA,0,-84.3,-48.8
Koide et al. 2017,Metrosideros polymorpha,NA,NA,NA,NA,NA,NA,155.4,46.3,-61
Koide et al. 2017,Morelotia gahniiformis,NA,NA,NA,NA,NA,NA,438.9,222.6,-61
Koide et al. 2017,Myoporum sandwicense,NA,NA,NA,NA,NA,NA,320,228.1,27.4
Koide et al. 2017,Myrsine lessertiana,NA,NA,NA,NA,NA,NA,61,160.3,73.2
Koide et al. 2017,Nephrolepis brownii,NA,NA,NA,NA,NA,NA,0,138.2,48.8
Koide et al. 2017,Panicum tenuifolium,NA,NA,NA,NA,NA,NA,256,131.4,0
Koide et al. 2017,Paspalum dilatatum,NA,NA,NA,NA,NA,NA,149.4,87.7,-76.2
Koide et al. 2017,Paspalum scrobiculatum,NA,NA,NA,NA,NA,NA,0,9.3,0
Koide et al. 2017,Paspalum urvillei,NA,NA,NA,NA,NA,NA,553.2,496.1,438.9
Koide et al. 2017,Pellaea ternifolia,NA,NA,NA,NA,NA,NA,396.2,212.9,0
Koide et al. 2017,Pipturus albidus,NA,NA,NA,NA,NA,NA,0,8.1,0
Koide et al. 2017,Pisonia umbellifera,NA,NA,NA,NA,NA,NA,0,-3.6,0
Koide et al. 2017,Polypodium pellucidum,NA,NA,NA,NA,NA,NA,253,438.1,0
Koide et al. 2017,Psidium cattleianum,NA,NA,NA,NA,NA,NA,-61,71.2,345.9
Koide et al. 2017,Psychotria hawaiiensis,NA,NA,NA,NA,NA,NA,27.4,13.7,0
Koide et al. 2017,Pteridium aquilinum,NA,NA,NA,NA,NA,NA,0,-220.4,-202.7
Koide et al. 2017,Rubus argutus,NA,NA,NA,NA,NA,NA,0,172.1,362.7
Koide et al. 2017,Sadleria pallida,NA,NA,NA,NA,NA,NA,198.1,65.6,0
Koide et al. 2017,Sapindus saponaria,NA,NA,NA,NA,NA,NA,0,0,0
Koide et al. 2017,Sophora chyrsophylla,NA,NA,NA,NA,NA,NA,-76.2,-100.9,27.4
Koide et al. 2017,Tetramolopium humile,NA,NA,NA,NA,NA,NA,423.7,161.5,0
Koide et al. 2017,Trisetum glomeratum,NA,NA,NA,NA,NA,NA,338.3,101.9,0
Koide et al. 2017,Vaccinium calycinum,NA,NA,NA,NA,NA,NA,61,85,0
Koide et al. 2017,Vaccinium reticulatum,NA,NA,NA,NA,NA,NA,-198.1,24.7,0
Koide et al. 2017,Waltheria indica,NA,NA,NA,NA,NA,NA,0,0,0
Koide et al. 2017,Wikstroemia phillyreifolia,NA,NA,NA,NA,NA,NA,0,-32.8,0
Kopp & Cleland 2014,Arenaria kingii,2900,NA,3650,2900,NA,3650,0,NA,0
Kopp & Cleland 2014,Artemisia rothrockii,2900,NA,3650,2900,NA,3650,0,NA,0
Kopp & Cleland 2014,Eriogonum gracipiles,3350,NA,3650,2900,NA,3650,-450,NA,0
Kopp & Cleland 2014,Eriogonum ovalifolium,2900,NA,3950,3200,NA,3950,300,NA,0
Kopp & Cleland 2014,Koeleria macrantha,2900,NA,3800,2900,NA,3800,0,NA,0
Kopp & Cleland 2014,Phlox condensata,3350,NA,3900,3050,NA,3900,-300,NA,0
Kopp & Cleland 2014,Trifolium andersonii,3350,NA,3950,3350,NA,3950,0,NA,0
Kuhn et al. 2016,Abies alba,NA,NA,NA,NA,NA,NA,-42,-50.198,-17.8
Kuhn et al. 2016,Acer campestre,NA,NA,NA,NA,NA,NA,16,27.33,9.2
Kuhn et al. 2016,Acer platanoides,NA,NA,NA,NA,NA,NA,3.4,74.793,187
Kuhn et al. 2016,Acer pseudoplatanus,NA,NA,NA,NA,NA,NA,-25,3.606,37.2
Kuhn et al. 2016,Actaea spicata,NA,NA,NA,NA,NA,NA,579.2,287.842,148.8
Kuhn et al. 2016,Adoxa moschatellina,NA,NA,NA,NA,NA,NA,14.8,179.246,698.2
Kuhn et al. 2016,Anemone nemorosa,NA,NA,NA,NA,NA,NA,14.6,6.451,-75.3
Kuhn et al. 2016,Asarum europaeum,NA,NA,NA,NA,NA,NA,-19.5,51.456,87.2
Kuhn et al. 2016,Asplenium scolopendrium,NA,NA,NA,NA,NA,NA,-91.2,-42.344,40.1
Kuhn et al. 2016,Athyrium filix-femina,NA,NA,NA,NA,NA,NA,3,-13.201,2.2
Kuhn et al. 2016,Berberis vulgaris,NA,NA,NA,NA,NA,NA,159.2,232.824,210.4
Kuhn et al. 2016,Betula pendula,NA,NA,NA,NA,NA,NA,-17,-4.304,60
Kuhn et al. 2016,Betula pubescens,NA,NA,NA,NA,NA,NA,-6.1,164.048,489.3
Kuhn et al. 2016,Bromus benekenii,NA,NA,NA,NA,NA,NA,42.3,-294.66,-465.6
Kuhn et al. 2016,Bupleurum falcatum,NA,NA,NA,NA,NA,NA,302.4,648.636,509.1
Kuhn et al. 2016,Caltha palustris,NA,NA,NA,NA,NA,NA,189.3,515.439,573.9
Kuhn et al. 2016,Campanula trachelium,NA,NA,NA,NA,NA,NA,29,21.138,166.2
Kuhn et al. 2016,Cardamine heptaphylla,NA,NA,NA,NA,NA,NA,279.6,149.967,7.6
Kuhn et al. 2016,Cardamine pratensis,NA,NA,NA,NA,NA,NA,38,100.873,185
Kuhn et al. 2016,Carex acutiformis,NA,NA,NA,NA,NA,NA,51.8,75.262,253.8
Kuhn et al. 2016,Carex brizoides,NA,NA,NA,NA,NA,NA,-5.5,1.759,-47.3
Kuhn et al. 2016,Carex digitata,NA,NA,NA,NA,NA,NA,35.4,28.512,-76.8
Kuhn et al. 2016,Carex montana,NA,NA,NA,NA,NA,NA,73.6,231.962,572
Kuhn et al. 2016,Carex remota,NA,NA,NA,NA,NA,NA,10.7,28.346,106.7
Kuhn et al. 2016,Carex sylvatica,NA,NA,NA,NA,NA,NA,11,31.385,80.5
Kuhn et al. 2016,Carpinus betulus,NA,NA,NA,NA,NA,NA,3,0.696,-12
Kuhn et al. 2016,Carx alba,NA,NA,NA,NA,NA,NA,40.7,142.281,501.2
Kuhn et al. 2016,Chrysosplenium oppositofolium,NA,NA,NA,NA,NA,NA,21.9,298.957,523
Kuhn et al. 2016,Circaea lutetiana,NA,NA,NA,NA,NA,NA,-29,10.441,42.4
Kuhn et al. 2016,Cirsium oleraceum,NA,NA,NA,NA,NA,NA,-7.4,173.132,-832.6
Kuhn et al. 2016,Convallaria majalis,NA,NA,NA,NA,NA,NA,-7,48.408,365.5
Kuhn et al. 2016,Cornus mas,NA,NA,NA,NA,NA,NA,59.6,4,-19
Kuhn et al. 2016,Corylus avellana,NA,NA,NA,NA,NA,NA,8,36.704,118
Kuhn et al. 2016,Crataegus laevigata,NA,NA,NA,NA,NA,NA,31.7,26.428,-19
Kuhn et al. 2016,Daphne laureola,NA,NA,NA,NA,NA,NA,44.4,-5.103,-22.7
Kuhn et al. 2016,Deschampsia cespitosa,NA,NA,NA,NA,NA,NA,-2,55.169,257.6
Kuhn et al. 2016,Dryopteris dilatata,NA,NA,NA,NA,NA,NA,-55.5,-30.185,103.1
Kuhn et al. 2016,Dryopteris filix-mas,NA,NA,NA,NA,NA,NA,8,-40.469,-7.6
Kuhn et al. 2016,Epipactis helleborine,NA,NA,NA,NA,NA,NA,45.1,34.218,33.8
Kuhn et al. 2016,Fagus sylvatica,NA,NA,NA,NA,NA,NA,-1,-6.776,-15
Kuhn et al. 2016,Festuca altissima,NA,NA,NA,NA,NA,NA,45.6,-25.698,-75.8
Kuhn et al. 2016,Filipendula ulmaria,NA,NA,NA,NA,NA,NA,16.2,219.991,742.4
Kuhn et al. 2016,Fragaria vesca,NA,NA,NA,NA,NA,NA,69.2,74.827,114.6
Kuhn et al. 2016,Fraxinus excelsior,NA,NA,NA,NA,NA,NA,2,35.623,101.2
Kuhn et al. 2016,Galeopsis tetrahit,NA,NA,NA,NA,NA,NA,18,21.467,96.6
Kuhn et al. 2016,Galium aparine,NA,NA,NA,NA,NA,NA,-25.4,98.838,217.7
Kuhn et al. 2016,Galium odoratum,NA,NA,NA,NA,NA,NA,59,57.408,46
Kuhn et al. 2016,Galium sylvaticum,NA,NA,NA,NA,NA,NA,-5.2,14.417,-104.8
Kuhn et al. 2016,Geum urbanum,NA,NA,NA,NA,NA,NA,-4.9,14.779,6
Kuhn et al. 2016,Goodyera repens,NA,NA,NA,NA,NA,NA,348.8,109.973,-176.5
Kuhn et al. 2016,Helleborus foetidus,NA,NA,NA,NA,NA,NA,92,109.045,90.2
Kuhn et al. 2016,Hordelymus europaeus,NA,NA,NA,NA,NA,NA,-7,0.796,29
