study,latin_name,historic_low_limit,historic_mean_limit,historic_upper_limit,modern_low_limit,modern_mean_elevation,modern_upper_limit,change_low_limit,change_mean_elevation,change_upper_limit
Bassler et al. 2013 beetle,Coccinella septempunctata,NA,NA,1450,NA,NA,1368,NA,NA,-82
Bassler et al. 2013 beetle,Corticarina fuscula,NA,NA,800,NA,NA,1306,NA,NA,506
Bassler et al. 2013 beetle,Corymbia maculicornis,NA,NA,800,NA,NA,936,NA,NA,136
Bassler et al. 2013 beetle,Corymbia rubra,NA,NA,750,NA,NA,1340,NA,NA,590
Bassler et al. 2013 beetle,Cratosilis denticollis,NA,NA,1320,NA,NA,1380,NA,NA,60
Bassler et al. 2013 beetle,Crenitis punctatostriata,NA,NA,1320,NA,NA,1333,NA,NA,13
Bassler et al. 2013 beetle,Cryptocephalus labiatus,NA,NA,1150,NA,NA,819,NA,NA,-331
Bassler et al. 2013 beetle,Cryptophagus dentatus,NA,NA,680,NA,NA,1247,NA,NA,567
Bassler et al. 2013 beetle,Cryptophagus pubescens,NA,NA,680,NA,NA,1141,NA,NA,461
Bassler et al. 2013 beetle,Cryptophagus scanicus,NA,NA,1150,NA,NA,1396,NA,NA,246
Bassler et al. 2013 beetle,Cryptopleurum minutum,NA,NA,680,NA,NA,1247,NA,NA,567
Bassler et al. 2013 beetle,Crypturgus pusillus,NA,NA,680,NA,NA,1420,NA,NA,740
Bassler et al. 2013 beetle,Ctenicera cuprea,NA,NA,1050,NA,NA,1368,NA,NA,318
Bassler et al. 2013 beetle,Cychramus luteus,NA,NA,700,NA,NA,1215,NA,NA,515
Bassler et al. 2013 beetle,Cychramus variegatus,NA,NA,700,NA,NA,1318,NA,NA,618
Bassler et al. 2013 beetle,Cychrus attenuatus,NA,NA,750,NA,NA,1420,NA,NA,670
Bassler et al. 2013 beetle,Cychrus caraboides,NA,NA,750,NA,NA,1262,NA,NA,512
Bassler et al. 2013 beetle,Cyphon coarctatus,NA,NA,800,NA,NA,1261,NA,NA,461
Bassler et al. 2013 beetle,Cyphon variabilis,NA,NA,700,NA,NA,1081,NA,NA,381
Bassler et al. 2013 beetle,Dalopius marginatus,NA,NA,750,NA,NA,1396,NA,NA,646
Bassler et al. 2013 beetle,Dasytes cyaneus,NA,NA,950,NA,NA,847,NA,NA,-103
Bassler et al. 2013 beetle,Dasytes fusculus,NA,NA,950,NA,NA,834,NA,NA,-116
Bassler et al. 2013 beetle,Dasytes niger,NA,NA,700,NA,NA,1406,NA,NA,706
Bassler et al. 2013 beetle,Dasytes plumbeus,NA,NA,700,NA,NA,1323,NA,NA,623
Bassler et al. 2013 beetle,Dictyopterus aurora,NA,NA,1050,NA,NA,1420,NA,NA,370
Bassler et al. 2013 beetle,Dinaraea angustula,NA,NA,1320,NA,NA,1007,NA,NA,-313
Bassler et al. 2013 beetle,Domene scabricollis,NA,NA,1150,NA,NA,1420,NA,NA,270
Bassler et al. 2013 beetle,Dromius agilis,NA,NA,680,NA,NA,1323,NA,NA,643
Bassler et al. 2013 beetle,Dryocoetes autographus,NA,NA,950,NA,NA,1420,NA,NA,470
Bassler et al. 2013 beetle,Elaphrus cupreus,NA,NA,680,NA,NA,737,NA,NA,57
Bassler et al. 2013 beetle,Elodes marginata,NA,NA,800,NA,NA,1007,NA,NA,207
Bassler et al. 2013 beetle,Epuraea aestiva,NA,NA,1050,NA,NA,1380,NA,NA,330
Bassler et al. 2013 beetle,Epuraea longula,NA,NA,680,NA,NA,750,NA,NA,70
Bassler et al. 2013 beetle,Epuraea neglecta,NA,NA,750,NA,NA,1060,NA,NA,310
Bassler et al. 2013 beetle,Epuraea pygmaea,NA,NA,700,NA,NA,1420,NA,NA,720
Bassler et al. 2013 beetle,Epuraea terminalis,NA,NA,680,NA,NA,1007,NA,NA,327
Bassler et al. 2013 beetle,Epuraea variegata,NA,NA,950,NA,NA,1215,NA,NA,265
Bassler et al. 2013 beetle,Eusphalerum alpinum,NA,NA,700,NA,NA,1007,NA,NA,307
Bassler et al. 2013 beetle,Eusphalerum florale,NA,NA,950,NA,NA,1380,NA,NA,430
Bassler et al. 2013 beetle,Eusphalerum limbatum,NA,NA,950,NA,NA,1396,NA,NA,446
Bassler et al. 2013 beetle,Eusphalerum longipenne,NA,NA,700,NA,NA,1368,NA,NA,668
Bassler et al. 2013 beetle,Eusphalerum stramineum,NA,NA,700,NA,NA,1420,NA,NA,720
Bassler et al. 2013 beetle,Evodinus clathratus,NA,NA,950,NA,NA,1340,NA,NA,390
Bassler et al. 2013 beetle,Gabrius splendidulus,NA,NA,750,NA,NA,752,NA,NA,2
Bassler et al. 2013 beetle,Galeruca tanaceti,NA,NA,950,NA,NA,1161,NA,NA,211
Bassler et al. 2013 beetle,Gaurotes virginea,NA,NA,750,NA,NA,1330,NA,NA,580
Bassler et al. 2013 beetle,Geostiba circellaris,NA,NA,750,NA,NA,1182,NA,NA,432
Bassler et al. 2013 beetle,Geotrupes stercorarius,NA,NA,680,NA,NA,727,NA,NA,47
Bassler et al. 2013 beetle,Glocianus punctiger,NA,NA,680,NA,NA,679,NA,NA,-1
Bassler et al. 2013 beetle,Gyrophaena angustata,NA,NA,700,NA,NA,1157,NA,NA,457
Bassler et al. 2013 beetle,Gyrophaena boleti,NA,NA,750,NA,NA,1368,NA,NA,618
Bassler et al. 2013 beetle,Hallomenus binotatus,NA,NA,700,NA,NA,1380,NA,NA,680
Bassler et al. 2013 beetle,Haploglossa villosula,NA,NA,1150,NA,NA,1220,NA,NA,70
Bassler et al. 2013 beetle,Harpalus affinis,NA,NA,680,NA,NA,798,NA,NA,118
Bassler et al. 2013 beetle,Harpalus laevipes,NA,NA,950,NA,NA,1216,NA,NA,266
Bassler et al. 2013 beetle,Harpalus latus,NA,NA,850,NA,NA,1161,NA,NA,311
Bassler et al. 2013 beetle,Hemicrepidius niger,NA,NA,1050,NA,NA,1203,NA,NA,153
Bassler et al. 2013 beetle,Hydroporus palustris,NA,NA,700,NA,NA,737,NA,NA,37
Bassler et al. 2013 beetle,Hylastes angustatus,NA,NA,950,NA,NA,1214,NA,NA,264
Bassler et al. 2013 beetle,Hylecoetus dermestoides,NA,NA,950,NA,NA,1396,NA,NA,446
Bassler et al. 2013 beetle,Hylobius abietis,NA,NA,800,NA,NA,1380,NA,NA,580
